Team,Total DVOA Rank,Total DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA
ARI,13.00,0.04,19.00,-0.02,10.00,-0.07,19.00,-0.01
ATL,17.00,-0.04,21.00,-0.03,14.00,0.00,20.00,-0.01
BAL,7.00,0.19,11.00,0.04,9.00,-0.07,2.00,0.07
BUF,4.00,0.24,5.00,0.16,12.00,-0.02,4.00,0.06
CAR,21.00,-0.07,17.00,0.00,24.00,0.07,16.00,0.01
CHI,15.00,-0.01,25.00,-0.11,8.00,-0.08,8.00,0.03
CIN,30.00,-0.25,29.00,-0.18,27.00,0.09,9.00,0.03
CLE,18.00,-0.06,9.00,0.05,25.00,0.07,27.00,-0.04
DAL,23.00,-0.11,24.00,-0.09,23.00,0.06,7.00,0.03
DEN,29.00,-0.22,30.00,-0.20,13.00,0.00,24.00,-0.02
DET,27.00,-0.16,16.00,0.00,32.00,0.18,11.00,0.02
GB,3.00,0.26,1.00,0.29,17.00,0.01,25.00,-0.03
HOU,24.00,-0.13,13.00,0.03,30.00,0.14,21.00,-0.01
IND,10.00,0.14,12.00,0.03,7.00,-0.10,10.00,0.02
JAX,31.00,-0.28,27.00,-0.13,31.00,0.15,18.00,0.00
KC,6.00,0.20,2.00,0.24,22.00,0.05,17.00,0.01
LAC,26.00,-0.15,15.00,0.02,20.00,0.04,32.00,-0.12
LAR,9.00,0.15,10.00,0.04,4.00,-0.17,30.00,-0.06
LV,19.00,-0.06,14.00,0.02,28.00,0.10,13.00,0.02
MIA,12.00,0.05,18.00,-0.02,11.00,-0.03,6.00,0.03
MIN,20.00,-0.06,8.00,0.06,18.00,0.03,31.00,-0.09
NE,22.00,-0.07,23.00,-0.07,26.00,0.08,1.00,0.08
NO,1.00,0.33,7.00,0.11,2.00,-0.19,5.00,0.04
NYG,25.00,-0.14,26.00,-0.12,19.00,0.04,12.00,0.02
NYJ,32.00,-0.31,31.00,-0.21,21.00,0.05,29.00,-0.05
PHI,28.00,-0.19,28.00,-0.17,15.00,0.00,22.00,-0.02
PIT,8.00,0.17,22.00,-0.05,1.00,-0.20,14.00,0.01
SEA,5.00,0.20,6.00,0.14,16.00,0.00,3.00,0.07
SF,11.00,0.05,20.00,-0.03,6.00,-0.10,23.00,-0.02
TB,2.00,0.32,3.00,0.20,5.00,-0.15,26.00,-0.03
TEN,14.00,0.03,4.00,0.18,29.00,0.12,28.00,-0.04
WAS,16.00,-0.02,32.00,-0.22,3.00,-0.18,15.00,0.01
