team,total_dvoa_rank,total_dvoa,offense_dvoa_rank,offense_dvoa,defense_dvoa_rank,defense_dvoa,special_teams_dvoa_rank,special_teams_dvoa
SF,1,0.4671632792057977,1,0.368991451996438,4,-0.114213620262575,24,-0.0160417930532153
BAL,2,0.38798919713863134,4,0.173841141402494,2,-0.187591399356137,8,0.0265566563800004
BUF,3,0.24678467611442848,2,0.228378928799202,10,-0.0231278735498135,18,-0.00472212623458704
MIA,4,0.24376177157484424,3,0.226486368130278,13,-0.0196178688886547,17,-0.00234246544408845
KC,5,0.2379338904628953,5,0.161202389743861,8,-0.0493607724953226,6,0.0273707282237117
DAL,6,0.1889999800902851,9,0.0935023921634591,6,-0.0683362424963855,7,0.0271613454304405
DET,7,0.142482768491916,6,0.133309564168416,15,-0.0175310566242942,20,-0.00835785230079418
CLE,8,0.09437077375967298,29,-0.147912212970878,1,-0.222288753159754,9,0.019994233570797
JAX,9,0.08947741704142831,14,0.0217477049337186,7,-0.0515164230206829,12,0.0162132890870268
PHI,10,0.0887304556216111,8,0.0988084207369737,23,0.051025974313807,1,0.0409480091984444
CIN,11,0.0422218883291512,10,0.0824935152420866,26,0.0698297824568062,5,0.0295581555438708
HOU,12,0.02741531006423827,13,0.0246578651712654,19,0.00781668397869343,13,0.0105741288716663
SEA,13,0.00803224147900729,12,0.0427800357906461,24,0.0539173327859708,10,0.019169538474332
PIT,14,0.00690574783029104,19,-0.0259068720667414,9,-0.0427641652113283,21,-0.00995154531429586
NO,15,-0.00117390922362007,20,-0.0259782776201086,12,-0.020796887194218,16,0.00400748120227053
MIN,16,-0.00210509304790199,21,-0.0465948744780505,5,-0.0803324826524282,29,-0.0358427012222797
IND,17,-0.00924480019592639,15,0.0157265724385813,16,-0.0113828075805367,30,-0.0363541802150444
TB,18,-0.0109022671199782,18,-0.00942063313490619,18,0.00556661330276416,15,0.00408497931769215
LA,19,-0.0180801321679989,7,0.101152961064675,21,0.037281512449458,32,-0.0819515807832159
LAC,20,-0.0516083977678049,17,0.0100788783309042,28,0.0988791401992467,2,0.0371918641005376
GB,21,-0.0563661866663922,11,0.0695681257107376,29,0.103004063686169,27,-0.0229302486909608
DEN,22,-0.0704159207593171,16,0.0115987421613242,30,0.11394816098869,3,0.0319334980680487
CHI,23,-0.1015929358954774,24,-0.0903516479651479,17,-0.0019746818227907,23,-0.0132159697531202
LV,24,-0.11443535285809787,28,-0.14484219597957,11,-0.0209636847338552,14,0.00944315838761692
TEN,25,-0.1324168319259587,23,-0.0882637148241979,20,0.0234476657685885,26,-0.0207054513331723
NYJ,26,-0.15501425222128892,32,-0.336763193614435,3,-0.149890671320458,4,0.0318582700726881
NE,27,-0.1581578275000371,27,-0.131838233368888,14,-0.01873069106099,31,-0.0450502851921391
ATL,28,-0.16305054864988888,25,-0.0923121291721076,22,0.0474280058348712,28,-0.0233104136429101
WAS,29,-0.24023058777779785,22,-0.0821576584150405,31,0.148113156298566,22,-0.00995977306419132
ARI,30,-0.25497264785677276,26,-0.11285874248478,32,0.159438084959125,11,0.0173241795871323
CAR,31,-0.3515054864425141,30,-0.271151669110993,27,0.0741437371788313,19,-0.00621008015268986
NYG,32,-0.3601180826935473,31,-0.27999584545538,25,0.0617764042565234,25,-0.0183458329816439
