TEAM,TOTAL DVOA RANK,TOTAL DVOA,LAST WEEK,NON-ADJ TOTAL VOA,W-L,OFFENSE DVOA,OFFENSE RANK,DEFENSE DVOA,DEFENSE RANK,SPECIAL TEAMS DVOA,SPECIAL TEAMS RANK,OFFENSE VOA UNADJ,DEFENSE VOA UNADJ,SPECIAL VOA UNADJ,ESTIMATED WINS,RANK,WEIGHTED DVOA,WEIGHT RANK,PAST SCHEDULE,PAST RANK,FUTURE SCHEDULE,FUTURE RANK,VARIANCE,VAR RANK,PYTH WINS,Rank
DAL,1,0.6383685601826375,1,0.7330048520606545,2-0,-0.0236129347395162,20,-0.636430156996046,1,0.0255513379261078,10,0.0415703714689302,-0.639847517654246,0.0515869629374783,2,1,0.638368560182638,1,-0.401368526965738,31,0.0349398010664954,9,0.0269116666344014,13,,
CLE,2,0.4979434190956799,3,0.49762122596315367,1-0,0.0262925627650213,16,-0.475704418393619,2,-0.00405356206296042,16,-0.0069194978957505,-0.488820777998147,0.0157199458607572,1.71045819109706,6,0.49794341909568,2,-0.460045547259063,32,-0.0848496903599076,30,0.123973824310348,23,,
SF,3,0.44244658500836614,5,0.4374288619272141,2-0,0.226277421303778,2,-0.212018898620916,6,0.00415026508367219,15,0.29876366160848,-0.112552544504023,0.0261126558147111,2,1,0.442446585008366,3,-0.316398797512143,29,0.0618086035970037,4,0.000272770575430121,2,,
BUF,4,0.39755598216071136,15,0.3996705291583589,1-1,0.127355106730666,8,-0.30376437319757,3,-0.0335634977675246,23,0.113150183238452,-0.308985539147341,-0.0224651932274341,1.27296737863683,11,0.397555982160711,4,-0.275921210093025,28,0.0193156163212418,12,0.24999384299117,29,,
MIA,5,0.3483878511597026,7,0.2974470642751197,2-0,0.471018273704895,1,0.0667543305742789,20,-0.0558760919709135,29,0.476806669592935,0.138483299330958,-0.0408763059868573,1.86208539028429,4,0.348387851159703,5,-0.157577086679045,23,0.00646419891622875,16,0.00736444202692599,7,,
BAL,6,0.301827446198662,6,0.2746249636034434,2-0,0.193182911376792,4,-0.214127659796088,5,-0.105483124974218,32,0.195382874194047,-0.173503994728306,-0.0942619053189096,2,1,0.301827446198662,6,-0.37889004120489,30,-0.00302248431760999,19,0.000175983625338907,1,,
GB,7,0.2947738923123389,4,0.3017049848747097,1-1,0.180723957317004,6,-0.0687147173788639,11,0.045335217616471,5,0.187630921598951,-0.0524390444126601,0.0616350188630986,1.63658421263973,7,0.294773892312339,7,-0.204526033412004,25,-0.132465907125504,32,0.0303972492544416,14,,
TB,8,0.20154156375111607,16,0.13542769814661348,2-0,0.00593125031983674,17,-0.203481955183001,7,-0.00787164175172166,17,0.0233256528127794,-0.141814734927771,-0.0297126895939369,1.38872322918956,9,0.201541563751116,8,-0.21684683507062,27,0.0496561457162689,6,0.136637402371671,24,,
PHI,9,0.1561045696829764,10,0.0486328622309024,2-0,0.0806622458565905,13,-0.0515432890590667,13,0.0238990347673192,11,0.0652479719455054,0.0534040124005966,0.0367889026859936,1.72164125173737,5,0.156104569682976,9,-0.0707265722764387,20,0.101164828009583,2,0.000350094771248477,3,,
WAS,10,0.13598072518284338,9,0.1680410232526072,2-0,0.100680034387041,11,-0.113301997065741,10,-0.0780013062699386,31,0.0861195049193235,-0.102471327474067,-0.0205498091407833,1.47215973768989,8,0.135980725182843,10,-0.05851358672998,19,0.0461348743290149,7,0.00711345727054161,6,,
