avg_rank,player,aic_rank,bic_rank,spec_rank,tier,proj_rank,adp,cluster
3,Patrick Mahomes II,8,5,4,3,3,1,1
2,Josh Allen,16,16,3,3,2,2,1
1,Jalen Hurts,7,3,2,3,1,3,1
4,Joe Burrow,9,12,6,4,4,5,1
14,Geno Smith,34,20,22,8,15,14,2
5,Justin Fields,2,4,7,5,6,7,1
11,Kirk Cousins,20,21,16,8,14,12,3
7,Trevor Lawrence,48,24,11,5,8,8,3
9,Daniel Jones,22,9,12,7,10,13,3
16,Jared Goff,13,18,21,9,17,16,2
12,Justin Herbert,3,7,39,5,7,6,3
38,Tom Brady,10,6,36,NA,NA,NA,4
17,Aaron Rodgers,52,49,34,9,16,15,2
6,Lamar Jackson,4,8,17,5,5,4,1
8,Tua Tagovailoa,17,23,10,6,9,11,3
15,Russell Wilson,43,27,13,10,18,17,2
19,Derek Carr,45,31,26,12,24,20,2
10,Dak Prescott,44,60,18,7,13,10,3
22,Kyler Murray,11,10,24,16,33,18,2
39,Marcus Mariota,31,22,14,NA,NA,40,5
40,Davis Mills,61,51,31,NA,NA,83,6
41,Andy Dalton,40,52,41,NA,NA,33,4
27,Mac Jones,14,33,43,14,31,26,7
42,Jacoby Brissett,38,29,37,NA,NA,41,4
20,Jimmy Garoppolo,26,30,15,13,25,27,8
43,Matt Ryan,35,39,38,NA,NA,NA,4
24,Ryan Tannehill,23,28,19,14,29,28,8
25,Kenny Pickett,18,26,42,11,20,24,7
34,Baker Mayfield,50,61,44,15,32,56,4
44,Taylor Heinicke,58,45,23,NA,NA,53,5
45,Carson Wentz,46,40,30,NA,NA,NA,6
21,Matthew Stafford,27,38,35,11,21,21,7
23,Brock Purdy,67,80,33,11,22,22,7
46,Zach Wilson,28,37,32,NA,NA,80,6
13,Deshaun Watson,30,32,27,7,12,9,3
30,Sam Darnold,41,46,8,18,37,55,9
47,Mitch Trubisky,47,42,25,NA,NA,46,5
48,Mike White,19,15,9,NA,NA,60,9
49,Cooper Rush,51,59,52,NA,NA,51,10
50,Tyler Huntley,21,14,50,NA,NA,79,11
51,Joe Flacco,76,83,48,NA,NA,NA,11
52,Jameis Winston,5,1,20,NA,NA,39,5
53,Jarrett Stidham,25,41,28,NA,NA,66,6
54,PJ Walker,55,57,53,NA,NA,NA,10
55,Bailey Zappe,68,55,40,NA,NA,84,11
