avg_rank,player,aic_rank,bic_rank,spec_rank,tier,proj_rank,adp,cluster
2,Austin Ekeler,4,5,1,1,2,2,1
1,Christian McCaffrey,72,18,2,1,1,1,1
6,Josh Jacobs,2,2,3,2,8,8,1
5,Derrick Henry,79,3,5,2,7,6,1
3,Nick Chubb,16,10,6,1,4,3,1
4,Saquon Barkley,6,12,4,1,3,5,1
7,Tony Pollard,37,32,10,2,6,7,1
27,Jamaal Williams,24,13,17,7,37,35,2
11,Aaron Jones,23,11,9,3,14,15,1
69,Dalvin Cook,10,16,12,6,31,NA,3
8,Rhamondre Stevenson,5,9,7,2,9,10,1
9,Joe Mixon,13,15,8,2,10,14,1
14,Miles Sanders,36,31,19,5,21,18,4
10,Najee Harris,22,17,14,3,12,11,1
40,Leonard Fournette,28,19,11,11,60,58,5
12,Kenneth Walker III,65,59,21,4,16,17,4
70,Travis Etienne Jr.,19,7,20,3,11,NA,3
18,Alvin Kamara,12,6,13,5,25,28,4
71,Ezekiel Elliott,43,23,24,9,47,NA,3
16,James Conner,14,22,15,5,23,23,4
34,Jerick McKinnon,9,101,18,8,40,47,2
20,D'Andre Swift,8,37,16,5,28,29,4
22,David Montgomery,7,14,25,5,29,25,4
36,Devin Singletary,42,24,22,10,50,46,2
72,AJ Dillon,49,29,28,6,35,NA,3
31,Raheem Mostert,15,20,27,6,33,42,2
15,Dameon Pierce,21,52,26,4,15,22,4
35,Tyler Allgeier,11,26,35,9,48,41,2
73,Jeff Wilson Jr.,17,21,30,15,81,NA,6
41,Cordarrelle Patterson,112,40,31,11,61,48,5
29,Antonio Gibson,46,33,23,7,36,34,2
52,Latavius Murray,38,34,32,15,78,68,5
19,Cam Akers,32,28,38,5,22,20,4
17,Jonathan Taylor,35,25,29,6,34,9,4
74,D'Onta Foreman,66,53,41,10,52,NA,3
24,Isiah Pacheco,18,27,40,5,27,24,4
32,Samaje Perine,40,42,34,8,39,36,2
21,Rachaad White,150,50,36,5,20,26,4
33,Khalil Herbert,30,41,43,6,32,40,2
75,Kareem Hunt,54,55,39,14,73,NA,6
30,Brian Robinson Jr.,39,48,47,6,30,31,4
13,Breece Hall,62,158,33,4,17,13,4
47,Michael Carter,58,49,37,15,79,52,5
28,James Cook,34,30,44,5,26,30,4
76,Kenyan Drake,45,69,42,NA,NA,65,3
45,Clyde Edwards-Helaire,27,57,45,11,62,49,5
77,James Robinson,60,169,56,NA,NA,57,7
37,Damien Harris,48,44,50,9,44,37,8
25,Alexander Mattison,83,83,61,4,19,21,4
46,Chuba Hubbard,51,36,59,11,58,55,8
42,Jaylen Warren,50,43,53,9,45,51,8
23,J.K. Dobbins,33,74,63,4,18,19,4
78,Eno Benjamin,44,45,49,NA,NA,114,6
39,Kenneth Gainwell,78,70,55,9,43,44,8
79,Melvin Gordon III,25,35,46,NA,NA,NA,6
80,Deon Jackson,86,67,51,12,65,NA,6
81,Dontrell Hilliard,26,141,58,NA,NA,NA,7
82,Nyheim Hines,90,167,57,NA,NA,84,7
53,Chase Edmonds,74,79,62,15,77,62,5
83,Darrell Henderson Jr.,56,58,60,NA,NA,NA,7
64,JaMycal Hasty,57,62,65,15,90,129,9
49,Gus Edwards,164,100,77,11,57,53,8
50,Zack Moss,55,47,67,10,51,64,8
48,Joshua Kelley,75,61,64,10,54,59,8
84,Rex Burkhead,93,82,54,NA,NA,63,7
85,Zonovan Knight,31,46,66,15,86,NA,10
38,Rashaad Penny,175,181,74,8,41,32,8
57,Matt Breida,76,72,69,15,89,76,9
86,Justin Jackson,69,80,76,NA,NA,NA,10
87,Kyle Juszczyk,156,153,70,NA,NA,94,10
88,Caleb Huntley,63,65,94,NA,NA,NA,11
61,Boston Scott,85,84,87,15,88,87,9
89,J.D. McKissic,20,38,52,NA,NA,NA,7
43,Elijah Mitchell,178,180,81,9,49,39,8
90,Mark Ingram II,165,76,72,NA,NA,NA,10
91,Ameer Abdullah,103,115,68,NA,NA,71,10
92,Dare Ogunbowale,105,97,75,NA,NA,81,11
65,DeeJay Dallas,61,64,80,18,96,122,9
93,Raheem Blackshear,110,98,86,16,92,NA,11
94,Ty Johnson,52,54,73,NA,NA,NA,11
95,Justice Hill,77,60,92,NA,NA,98,11
96,Travis Homer,161,111,79,NA,NA,102,11
97,Marlon Mack,133,152,83,NA,NA,75,11
26,Javonte Williams,169,95,48,5,24,27,4
98,Jordan Mason,136,92,112,16,91,NA,12
99,Malik Davis,80,85,88,11,59,NA,11
100,Alec Ingold,88,119,78,NA,NA,105,11
101,Gary Brightwell,81,86,108,NA,NA,NA,12
102,C.J. Ham,151,138,96,NA,NA,NA,11
103,Craig Reynolds,132,93,91,NA,NA,110,11
104,Kyren Williams,73,78,90,14,74,NA,11
105,Avery Williams,140,81,103,NA,NA,NA,12
106,Mike Boone,67,75,84,NA,NA,88,11
107,Brandon Bolden,135,142,105,NA,NA,69,12
54,Pierre Strong Jr.,141,112,109,14,71,60,13
108,Jonathan Williams,71,73,101,NA,NA,73,12
109,Tevin Coleman,180,71,107,NA,NA,NA,14
110,Hassan Haskins,101,99,110,17,95,NA,14
111,Sony Michel,94,114,100,NA,NA,NA,12
112,Malcolm Brown,87,96,111,NA,NA,NA,14
113,Corey Clement,149,161,98,NA,NA,78,14
114,Darrel Williams,95,107,95,NA,NA,NA,14
115,Reggie Gilliam,167,162,102,NA,NA,121,14
116,Benny Snell Jr.,104,110,119,NA,NA,100,12
117,Derek Watt,147,160,116,NA,NA,NA,12
118,Zander Horvath,41,171,113,NA,NA,NA,12
119,Keaontay Ingram,142,150,117,15,85,NA,12
120,Royce Freeman,84,163,99,NA,NA,83,14
121,Ronald Jones II,163,172,121,NA,NA,82,12
122,Patrick Ricard,145,120,114,NA,NA,95,12
66,Salvon Ahmed,160,154,129,14,75,128,15
123,Phillip Lindsay,47,39,85,NA,NA,NA,16
124,Jordan Wilkins,100,109,97,NA,NA,85,14
125,Chris Evans,159,164,123,15,82,NA,12
126,Kevin Harris,91,106,141,NA,NA,NA,17
127,Kene Nwangwu,162,166,135,NA,NA,NA,17
128,Snoop Conner,154,157,144,NA,NA,NA,17
129,Darrynton Evans,29,8,132,NA,NA,119,17
62,Tyrion Davis-Price,155,168,127,17,94,66,13
130,Tyler Badie,182,182,115,NA,NA,NA,18
131,Ty Montgomery II,181,51,71,NA,NA,NA,16
132,Ke'Shawn Vaughn,109,139,130,NA,NA,115,17
133,Tony Jones Jr.,102,118,89,NA,NA,127,16
134,Jaret Patterson,176,175,131,NA,NA,NA,17
135,Ronnie Rivers,174,176,93,NA,NA,NA,16
136,Myles Gaskin,107,90,82,NA,NA,96,16
137,David Johnson,172,174,118,NA,NA,NA,18
138,Trayveon Williams,96,116,137,NA,NA,97,17
55,Zamir White,106,103,150,13,66,50,13
58,Isaiah Spiller,148,159,126,15,80,61,13
139,Julius Chestnut,166,173,134,NA,NA,NA,17
140,Spencer Brown,177,179,104,NA,NA,NA,18
141,Patrick Taylor Jr.,144,165,148,NA,NA,NA,17
142,Trestan Ebner,98,140,125,NA,NA,NA,18
143,Anthony McFarland Jr.,82,68,106,NA,NA,118,18
144,Dwayne Washington,108,144,149,NA,NA,NA,17
145,Larry Rountree III,170,178,133,NA,NA,NA,18
146,Jonathan Ward,99,77,128,NA,NA,124,18
67,D'Ernest Johnson,137,105,147,16,93,111,15
147,Giovani Bernard,92,94,140,NA,NA,NA,17
148,Jakob Johnson,139,102,138,NA,NA,99,17
149,Adam Prentice,158,146,142,NA,NA,NA,17
150,Mike Davis,114,117,145,NA,NA,NA,17
151,Michael Burton,134,145,151,NA,NA,92,19
152,J.J. Taylor,179,177,122,NA,NA,117,18
153,Ty Chandler,68,66,156,12,64,NA,19
154,Trey Sermon,1,1,157,NA,NA,NA,19
155,Keith Smith,111,143,153,NA,NA,91,19
156,Demetric Felton Jr.,138,148,139,NA,NA,NA,17
157,Devine Ozigbo,152,155,152,NA,NA,107,19
158,Godwin Igwebuike,143,149,154,NA,NA,NA,19
59,Jerome Ford,146,151,158,13,68,56,13
