week,home_team,home_score_est,away_team,visitor_score_est,spread_line,home_moneyline,away_moneyline,total_line,win_prob,home_score_actual,away_score_actual
1,KC,24.7,DET,26.2,-4,-198,164,53,0.383,20,21
1,ATL,22.3,CAR,19.9,-3.5,-192,160,40.5,0.624,24,10
1,BAL,24.8,HOU,20,-9.5,-500,380,43.5,0.699,25,9
1,CLE,23.1,CIN,16.6,1,-108,-112,46.5,0.703,24,3
1,IND,22.2,JAX,22.8,4,170,-205,45.5,0.465,21,31
1,MIN,23.4,TB,22.4,-4,-205,170,45,0.552,17,20
1,NO,21.3,TEN,17.8,-3,-148,124,41,0.638,16,15
1,PIT,15.7,SF,29,1.5,100,-120,41.5,0.11,7,30
1,WAS,23.2,ARI,26.4,-7,-340,270,38,0.364,20,16
1,CHI,20.5,GB,27.2,-1,-118,-102,41,0.237,20,38
1,DEN,27.4,LV,20.4,-3,-162,136,43,0.768,16,17
1,LAC,30,MIA,27.8,-3,-162,136,50.5,0.498,34,36
1,NE,19,PHI,24.8,3.5,154,-185,44.5,0.349,20,25
1,SEA,29.2,LA,22.1,-4.5,-218,180,45,0.649,13,30
1,NYG,13.3,DAL,27.8,3.5,142,-170,44.5,0.133,0,40
1,NYJ,16.9,BUF,29.4,2.5,114,-135,44.5,0.106,22,16
2,PHI,29.5,MIN,21.1,-6,-238,195,49,0.691,34,28
2,ATL,21.4,GB,25,-3,-148,124,40.5,0.34,25,24
2,BUF,31.7,LV,11.8,-7.5,-355,280,47,0.953,38,10
2,CIN,19,BAL,28.1,-3.5,-175,145,45.5,0.18,24,27
2,DET,27.4,SEA,21.5,-4.5,-218,180,47.5,0.68,31,37
2,HOU,25.9,IND,21.3,1,-110,-110,40,0.607,20,31
2,JAX,21.5,KC,24.6,3.5,142,-170,50.5,0.402,9,17
2,TB,26.1,CHI,15,-2.5,-135,114,41,0.829,27,17
2,TEN,22.9,LAC,25.2,2.5,120,-142,45.5,0.268,27,24
2,ARI,31.1,NYG,18.7,5,185,-225,40,0.857,28,31
2,LA,21,SF,30.3,7.5,270,-340,45,0.243,23,30
2,DAL,24.8,NYJ,14.6,-8.5,-380,300,38.5,0.829,30,10
2,DEN,26.6,WAS,24.2,-4,-198,164,38.5,0.538,33,35
2,NE,25.2,MIA,25.1,2,110,-130,46.5,0.393,17,24
2,CAR,17,NO,24.5,3,145,-175,39.5,0.282,17,20
2,PIT,16.5,CLE,21.2,2.5,124,-148,39,0.345,26,22
3,SF,33.4,NYG,12.4,-10.5,-535,400,43.5,0.949,30,12
3,BAL,26.2,IND,18.2,-7.5,-380,300,43.5,0.762,19,22
3,CLE,19.9,TEN,16.6,-3.5,-185,154,38,0.658,27,3
3,DET,31.1,ATL,14.9,-3,-166,140,47.5,0.903,20,6
3,GB,21.4,NO,22.4,1.5,105,-125,41.5,0.552,18,17
3,JAX,22.3,HOU,22.3,-7.5,-380,300,43.5,0.525,17,37
3,MIA,30.5,DEN,25.3,-6,-250,205,47.5,0.724,70,20
3,MIN,26.5,LAC,26.7,-1,-110,-110,54,0.413,24,28
3,NYJ,20.4,NE,23,2.5,120,-142,35.5,0.313,10,15
3,WAS,17,BUF,29.3,5.5,200,-245,44,0.157,3,37
3,SEA,29.2,CAR,15.9,-5,-225,185,42.5,0.878,37,27
3,ARI,23.7,DAL,26.5,11.5,470,-650,43.5,0.448,28,16
3,KC,31.8,CHI,15.8,-13,-750,525,48,0.891,41,10
3,LV,19.3,PIT,21.5,-3,-148,124,43.5,0.407,18,23
3,TB,19.1,PHI,24.2,6,210,-258,44,0.351,11,25
3,CIN,24,LA,26.2,-3,-162,136,45.5,0.312,19,16
4,GB,20.3,DET,29,2.5,120,-142,45,0.228,20,34
4,JAX,25.8,ATL,17.5,-3.5,-185,154,42.5,0.754,23,7
4,BUF,32.5,MIA,22,-2.5,-142,120,53,0.707,48,20
4,CAR,20,MIN,27.1,4.5,185,-225,46.5,0.214,13,21
4,CHI,21.6,DEN,27.5,3,136,-162,47,0.278,28,31
4,CLE,18.9,BAL,22.5,2,114,-135,38.5,0.32,3,28
4,HOU,25.8,PIT,17.2,3,136,-162,41.5,0.775,30,6
4,IND,25.5,LA,23.9,1,-105,-115,44.5,0.463,23,29
4,NO,21.2,TB,20,-4,-205,170,41,0.485,9,26
4,PHI,30,WAS,17.8,-9.5,-455,350,43,0.8,34,31
4,TEN,23.1,CIN,18.9,2.5,136,-162,41.5,0.596,27,3
4,LAC,29.1,LV,17.6,-7,-310,250,49,0.893,24,17
4,DAL,24.2,NE,17.6,-6.5,-285,230,43,0.656,38,3
4,SF,31.9,ARI,21.7,-15,-1100,700,44,0.76,35,16
4,NYJ,19.1,KC,27,9.5,370,-485,41.5,0.201,20,23
4,NYG,16,SEA,29.4,2.5,120,-142,46.5,0.121,3,24
5,WAS,25.1,CHI,18.3,-6,-258,210,45.5,0.742,20,40
