avg_rank,player,aic_rank,bic_rank,spec_rank,tier,proj_rank,adp,cluster
1,Travis Kelce,18,18,1,1,1,1,1
3,T.J. Hockenson,10,11,2,3,3,3,1
4,George Kittle,20,17,4,5,5,4,1
2,Mark Andrews,9,7,3,3,2,2,1
22,Taysom Hill,1,1,28,14,32,21,2
6,Evan Engram,23,26,5,7,8,10,1
13,Cole Kmet,118,123,14,9,17,14,3
7,Pat Freiermuth,15,15,7,7,9,8,1
12,Tyler Higbee,44,37,6,8,12,16,3
11,Dalton Schultz,22,22,8,9,16,9,3
51,Juwan Johnson,24,23,16,8,11,NA,4
5,Dallas Goedert,130,127,10,5,4,7,1
10,David Njoku,5,5,11,7,10,11,3
14,Dawson Knox,25,24,15,11,20,12,3
15,Gerald Everett,12,12,12,11,19,15,3
28,Tyler Conklin,19,19,13,15,35,60,5
31,Jordan Akins,21,21,21,18,54,56,6
20,Noah Fant,26,28,20,11,21,27,2
18,Zach Ertz,11,10,9,14,31,22,7
52,Robert Tonyan,35,39,23,17,40,NA,8
21,Hunter Henry,16,20,25,13,29,24,2
27,Hayden Hurst,39,42,17,12,27,54,5
19,Mike Gesicki,29,29,31,11,22,19,2
16,Chigoziem Okonkwo,68,71,32,9,14,13,9
26,Austin Hooper,71,56,29,17,41,34,10
42,Isaiah Likely,31,30,24,15,37,127,11
38,Cade Otton,38,36,26,14,30,121,11
9,Darren Waller,13,14,22,5,6,6,12
32,Will Dissly,34,41,37,17,45,59,6
17,Greg Dulcich,17,16,19,9,18,18,3
34,Foster Moreau,42,44,30,18,53,72,6
40,Jelani Woods,28,27,35,14,34,119,11
8,Kyle Pitts,14,13,18,5,7,5,12
41,Daniel Bellinger,141,141,36,15,38,115,11
24,Logan Thomas,72,72,27,15,36,30,10
53,Colby Parkinson,30,31,42,NA,NA,88,13
54,Noah Gray,140,140,44,17,43,NA,13
55,Brock Wright,65,76,46,19,58,NA,14
56,MyCole Pruitt,84,92,45,NA,NA,31,14
43,Trey McBride,40,40,39,13,28,126,11
35,Harrison Bryant,135,135,41,18,46,86,15
45,Kylen Granson,8,9,40,18,56,107,16
57,C.J. Uzomah,36,35,50,18,55,NA,17
30,Mo Alie-Cox,37,34,48,18,49,38,18
58,Tommy Tremble,32,32,47,NA,NA,108,17
23,Irv Smith Jr.,64,58,33,12,25,25,2
25,Jake Ferguson,45,47,52,11,23,26,19
29,Jonnu Smith,134,133,43,17,42,36,18
37,Adam Trautman,69,65,57,16,39,87,15
59,Shane Zylstra,129,130,60,NA,NA,NA,20
60,Peyton Hendershot,2,2,68,19,57,NA,21
61,Josh Oliver,53,52,53,NA,NA,76,22
62,Durham Smythe,3,3,65,NA,NA,57,21
63,O.J. Howard,27,25,54,NA,NA,NA,20
64,Ian Thomas,46,46,55,NA,NA,62,20
65,Connor Heyward,7,8,71,NA,NA,117,23
66,Johnny Mundt,57,75,67,NA,NA,49,24
67,Mitchell Wilcox,47,50,58,NA,NA,93,25
68,Eric Saubert,50,48,66,NA,NA,48,24
69,Cameron Brate,117,95,38,NA,NA,NA,26
70,Teagan Quitoriano,125,126,61,NA,NA,112,27
71,Jody Fortson,122,91,73,NA,NA,NA,24
72,Eric Tomlinson,66,74,70,NA,NA,41,24
73,Donald Parham Jr.,93,61,63,18,47,NA,27
74,John Bates,56,60,59,NA,NA,110,27
75,Marcedes Lewis,127,128,76,NA,NA,28,28
76,James Mitchell,55,54,74,NA,NA,120,23
77,Zach Gentry,67,79,69,NA,NA,71,29
78,Albert Okwuegbunam,41,43,51,NA,NA,85,30
44,Brevin Jordan,58,55,49,18,50,104,16
79,Tanner Hudson,119,102,56,NA,NA,64,31
80,Dan Arnold,75,67,80,NA,NA,NA,32
81,Ross Dwelley,128,132,85,NA,NA,61,33
82,Josiah Deguara,59,63,72,NA,NA,91,34
83,Jack Stoll,63,66,78,NA,NA,NA,32
84,Geoff Swaim,78,103,79,NA,NA,45,32
85,Pharaoh Brown,51,49,64,NA,NA,44,35
86,Ko Kieft,92,86,91,NA,NA,NA,36
87,Quintin Morris,43,33,82,NA,NA,NA,34
88,Chris Myarick,70,80,89,NA,NA,80,36
89,Anthony Firkser,77,78,75,NA,NA,51,32
90,Brycen Hopkins,123,101,77,NA,NA,84,34
91,Giovanni Ricci,74,81,94,NA,NA,102,37
92,Parker Hesse,76,83,90,NA,NA,NA,37
93,Tre' McKitty,94,96,83,NA,NA,109,38
94,Armani Rogers,4,4,103,NA,NA,NA,39
95,Grant Calcaterra,62,84,81,NA,NA,116,38
96,Kyle Rudolph,52,45,93,NA,NA,NA,40
97,Andrew Beck,136,137,88,NA,NA,78,36
98,Blake Bell,33,38,96,NA,NA,33,40
99,Nick Vannett,113,87,87,NA,NA,35,40
100,Tyler Kroft,115,98,104,NA,NA,42,39
101,Tyler Mabry,6,6,99.5,NA,NA,96,41
102,Chris Manhertz,82,90,99.5,NA,NA,50,39
103,Charlie Kolar,139,139,34,NA,NA,122,42
104,Luke Farrell,124,97,101,NA,NA,NA,39
105,Trevon Wesco,61,73,116,NA,NA,77,43
106,Stephen Sullivan,48,57,111,NA,NA,97,44
107,Ryan Griffin,90,100,110,NA,NA,NA,44
108,Tyler Davis,89,99,119,NA,NA,103,44
109,Kendall Blanton,132,134,102,NA,NA,74,45
110,Ben Ellefson,126,82,86,NA,NA,NA,46
111,Stone Smartt,121,125,84,NA,NA,NA,46
112,Jesper Horsted,87,89,115,NA,NA,NA,44
113,Maxx Williams,116,85,105,NA,NA,NA,47
114,Cole Turner,54,59,95,14,33,NA,47
115,Stephen Anderson,85,94,117,NA,NA,NA,48
116,Sean McKeon,83,93,106,NA,NA,98,47
117,Mason Schreck,120,124,107,NA,NA,37,49
118,Devin Asiasi,114,122,118,NA,NA,90,48
119,Jeremy Ruckert,49,51,108,18,51,NA,49
120,Tommy Sweeney,91,62,120,NA,NA,69,50
121,Jacob Harris,88,77,123,NA,NA,106,51
122,Richard Rodgers,60,64,98,NA,NA,NA,47
123,Drew Sample,133,131,109,NA,NA,70,50
124,Mitchell Fraboni,103.5,112.5,132.5,NA,NA,NA,52
125,Matt Sokol,142,142,142,NA,NA,82,53
126,Matthew Orzech,103.5,112.5,132.5,NA,NA,NA,52
127,Stephen Carlson,143,143,143,NA,NA,79,53
128,Kaden Smith,144,144,144,NA,NA,NA,53
129,Brandon Dillon,145,145,145,NA,NA,73,53
130,Tyree Jackson,103.5,112.5,132.5,NA,NA,NA,52
131,Nick Bowers,146,146,146,NA,NA,95,54
132,Feleipe Franks,137,136,121.5,NA,NA,NA,55
133,Dalton Keene,147,147,147,NA,NA,92,54
134,Jared Pinkney,103.5,112.5,132.5,NA,NA,89,52
135,Charlie Woerner,86,88,121.5,NA,NA,101,55
136,Noah Togiai,80,69,113,NA,NA,99,56
137,Lawrence Cager,138,138,62,NA,NA,NA,57
138,Reggie Gilliam,131,129,97,NA,NA,NA,58
139,Rashod Berry,148,148,148,NA,NA,NA,54
140,Chris Pierce Jr.,103.5,112.5,132.5,NA,NA,NA,59
141,Leroy Watson IV,149,149,149,NA,NA,NA,54
142,Jake Tonges,80,69,113,NA,NA,NA,56
143,Rodney Williams,150,150,150,NA,NA,NA,60
144,Zaire Mitchell-Paden,151,151,151,NA,NA,NA,60
145,Cole Fotheringham,152,152,152,NA,NA,111,60
146,Tucker Fisk,153,153,153,NA,NA,NA,60
147,Curtis Hodges,154,154,154,NA,NA,118,60
148,Nikola Kalinic,103.5,112.5,132.5,NA,NA,113,59
149,John FitzPatrick,155,155,155,NA,NA,NA,60
150,Tanner Conner,73,53,92,NA,NA,NA,61
151,Gerrit Prince,156,156,156,NA,NA,NA,62
152,Nick Muse,157,157,157,NA,NA,NA,62
153,Lucas Krull,158,158,158,NA,NA,NA,62
154,Cameron Latu,159,159,159,NA,NA,NA,62
155,Andrew Ogletree,160,160,160,NA,NA,NA,62
156,Travis Vokolek,161,161,161,NA,NA,NA,62
157,Julian Hill,162,162,162,NA,NA,NA,62
158,Johnny Lumpkin,163,163,163,NA,NA,NA,62
159,Ryan Miller,164,164,164,NA,NA,NA,63
160,Tanner Taula,165,165,165,NA,NA,NA,63
161,Nate Adkins,166,166,166,NA,NA,NA,63
162,John Samuel Shenker,167,167,167,NA,NA,NA,63
163,Princeton Fant,168,168,168,NA,NA,NA,63
164,Brady Russell,169,169,169,NA,NA,NA,63
165,Thomas Odukoya,170,170,170,NA,NA,NA,63
33,Dalton Kincaid,171,171,171,9,13,17,64
166,Luke Schoonmaker,172,172,172,NA,NA,NA,63
47,Luke Musgrave,173,173,173,12,26,129,65
48,Tucker Kraft,174,174,174,18,48,130,66
167,Brenton Strange,175,175,175,NA,NA,NA,67
168,Payne Durham,176,176,176,NA,NA,NA,67
169,Zack Kuntz,177,177,177,NA,NA,NA,67
170,Ben Sims,178,178,178,NA,NA,NA,67
171,Ryan Jones,179,179,179,NA,NA,NA,68
172,Leonard Taylor,180,180,180,NA,NA,NA,68
173,Henry Pearson,181,181,181,NA,NA,NA,68
174,Blake Whiteheart,182,182,182,NA,NA,NA,68
175,Joel Wilson,183,183,183,NA,NA,NA,68
176,Derek Parish,184,184,184,NA,NA,NA,68
177,Brayden Willis,185,185,185,NA,NA,NA,68
178,Hunter Long,103.5,112.5,132.5,NA,NA,105,69
179,Kenny Yeboah,103.5,112.5,132.5,NA,NA,NA,69
180,Miller Forristall,80,69,113,NA,NA,NA,70
181,Matt Bushman,186,186,186,NA,NA,NA,71
182,Josh Whyle,187,187,187,NA,NA,NA,71
183,Hunter Kampmoyer,188,188,188,NA,NA,NA,71
184,Zach Davidson,189,189,189,NA,NA,NA,71
185,Bernhard Seikovits,190,190,190,NA,NA,NA,71
186,Davis Allen,191,191,191,NA,NA,NA,71
187,Austin Allen,103.5,112.5,132.5,NA,NA,114,69
188,Will Mallory,192,192,192,NA,NA,125,71
189,Ben Mason,103.5,112.5,132.5,NA,NA,NA,69
49,Darnell Washington,193,193,193,18,52,123,72
50,Darnell Washington,193,193,193,18,52,128,72
36,Sam LaPorta,194,194,194,9,15,20,73
39,Michael Mayer,195,195,195,12,24,23,73
190,Josh Pederson,196,196,196,NA,NA,NA,74
191,Elijah Higgins,197,197,197,NA,NA,NA,74
192,Dominique Curry,198,198,198,NA,NA,NA,74
193,Drake Dunsmore,199,199,199,NA,NA,NA,74
194,James Dearth,200,200,200,NA,NA,NA,74
195,Darnell Dinkins,201,201,201,NA,NA,NA,74
196,Derek Fine,202,202,202,NA,NA,NA,74
197,J.P. Foschi,203,203,203,NA,NA,NA,74
198,Brad Cottam,204,204,204,NA,NA,NA,74
46,Jimmy Graham,205,205,205,17,44,29,75
199,Marquez Branson,206,206,206,NA,NA,NA,76
200,Joey Haynos,207,207,207,NA,NA,NA,76
201,Justin Snow,208,208,208,NA,NA,NA,76
202,Keith Zinger,209,209,209,NA,NA,NA,76
203,Jacob Hollister,210,210,210,NA,NA,40,76
204,Darrell Daniels,211,211,211,NA,NA,39,76
205,J.P. Holtz,103.5,112.5,132.5,NA,NA,NA,77
206,Zach Wood,103.5,112.5,132.5,NA,NA,NA,77
207,Troy Fumagalli,212,212,212,NA,NA,58,78
208,Jordan Thomas,213,213,213,NA,NA,63,78
209,David Wells,214,214,214,NA,NA,65,78
210,Kevin Rader,103.5,112.5,132.5,NA,NA,66,79
211,Ricky Seals-Jones,215,215,215,NA,NA,46,80
212,Beau Brinkley,103.5,112.5,132.5,NA,NA,NA,79
213,James Winchester,103.5,112.5,132.5,NA,NA,NA,79
214,Tyler Ott,216,216,216,NA,NA,NA,80
215,Patrick Scales,103.5,112.5,132.5,NA,NA,NA,79
216,Andrew DePaola,103.5,112.5,132.5,NA,NA,NA,79
217,Nick Boyle,103.5,112.5,132.5,NA,NA,NA,79
